edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
111,10000,9994,0.9994,0.9999466290473,0.9999465970055033
112,10000,9993,0.9993,0.9999473738861,0.9999473370220154
113,10000,9993,0.9993,0.9999482374027999,0.9999482011436005
114,10000,9993,0.9993,0.9999489891488,0.9999489534161914
115,10000,9993,0.9993,0.9999497643584,0.9999497291688181
116,10000,9993,0.9993,0.9999503876558,0.9999503529028321
117,10000,9992,0.9992,0.9999510156702,0.9999509764513611
118,10000,9991,0.9991,0.9999516191821001,0.9999515756001401
119,10000,9991,0.9991,0.9999522886546001,0.9999522456757082
120,10000,9991,0.9991,0.9999528620999,0.9999528196375739
121,10000,9991,0.9991,0.9999535105167,0.9999534686384746
122,10000,9990,0.999,0.9999540560024001,0.9999540100124125
123,10000,9990,0.999,0.9999546494739,0.999954604077978
124,10000,9990,0.999,0.9999552166231,0.9999551717948949
125,10000,9990,0.999,0.9999559382428,0.9999558941369369
126,10000,9990,0.999,0.9999564248127001,0.999956381193894
127,10000,9990,0.999,0.9999569516409,0.9999569085494494
128,10000,9990,0.999,0.9999574097867,0.9999573671538539
129,10000,9990,0.999,0.9999579787940001,0.9999579367307307
130,10000,9990,0.999,0.9999585167367999,0.9999584752120121
131,10000,9990,0.999,0.9999589903906,0.99995894933994
132,10000,9990,0.999,0.9999594402731,0.9999593996727728
133,10000,9990,0.999,0.9999598988341,0.9999598586927928
134,10000,9990,0.999,0.9999603227472,0.9999602830302303
135,10000,9989,0.9989,0.9999608510393,0.9999608079280209
136,10000,9989,0.9989,0.9999612974312,0.9999612548114927
137,10000,9986,0.9986,0.9999616909873,0.9999616372794913
138,10000,9986,0.9986,0.9999621147898999,0.9999620616762468
139,10000,9986,0.9986,0.9999626103703001,0.999962557951432
140,10000,9986,0.9986,0.9999629981143,0.9999629462390347
141,10000,9986,0.9986,0.9999633792493,0.9999633279083717
142,10000,9986,0.9986,0.999963744161,0.9999636933316643
143,10000,9986,0.9986,0.999964104796,0.9999640544722612
144,10000,9986,0.9986,0.9999644716515,0.9999644218420789
145,10000,9985,0.9985,0.999964802669,0.9999647497936905
146,10000,9985,0.9985,0.9999651676457,0.999965115318678
147,10000,9983,0.9983,0.9999654899220001,0.9999654311549635
148,10000,9983,0.9983,0.9999658498814,0.9999657917273366
149,10000,9983,0.9983,0.9999662010168,0.9999661434606831
150,10000,9983,0.9983,0.9999665325871,0.9999664755956126
151,10000,9983,0.9983,0.9999668370876,0.9999667806146448
152,10000,9983,0.9983,0.9999671301646,0.9999670741907243
153,10000,9980,0.998,0.9999674176204,0.9999673523250501
154,10000,9980,0.998,0.9999677217892999,0.999967657103507
155,10000,9980,0.998,0.9999680211322,0.9999679570462925
156,10000,9979,0.9979,0.9999683026417,0.999968235937168
157,10000,9979,0.9979,0.9999685990377001,0.9999685329569096
158,10000,9979,0.9979,0.9999688835067,0.9999688180245515
159,10000,9978,0.9978,0.9999691521115001,0.9999690840965123
160,10000,9978,0.9978,0.9999694149949,0.9999693475595309
161,10000,9978,0.9978,0.9999696636318001,0.9999695967446383
162,10000,9977,0.9977,0.9999699617302,0.9999698924829108
163,10000,9976,0.9976,0.999970246941,0.9999701753618685
164,10000,9976,0.9976,0.9999705162644,0.9999704453331997
165,10000,9976,0.9976,0.9999708869867999,0.9999708169474739
166,10000,9976,0.9976,0.9999711306285,0.9999710611753208
167,10000,9976,0.9976,0.9999713603611999,0.9999712914607056
168,10000,9975,0.9975,0.9999715970425,0.9999715258571428
169,10000,9974,0.9974,0.9999718369256001,0.9999717635107279
170,10000,9974,0.9974,0.9999720809941,0.9999720082154602
171,10000,9974,0.9974,0.9999722984825999,0.9999722262709043
172,10000,9974,0.9974,0.9999725282863999,0.9999724566737517
173,10000,9974,0.9974,0.9999727477565,0.9999726767159615
174,10000,9974,0.9974,0.9999729584307,0.9999728879393422
175,10000,9974,0.9974,0.9999731822857,0.9999731123778824
176,10000,9974,0.9974,0.9999733904314,0.999973321066172
