dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,177,999973618.8963,999990361.0,995965885,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,178,999973830.2724,999990437.0,995992917,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,179,999974023.6248,999990502.0,996006492,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,180,999974209.5536,999990581.0,996008410,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,181,999974401.8436,999990655.5,996012540,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,182,999974591.4682,999990728.5,996013754,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,183,999974776.5683,999990783.5,996018772,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,184,999974965.6641,999990843.5,996022339,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,185,999975147.1578,999990911.0,996034502,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,186,999975321.4978,999990984.5,996039296,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,187,999975503.3942,999991053.0,996046051,1000000000,0,9973
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,188,999975703.6063,999991094.5,996055213,1000000000,0,9973
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,189,999975902.381,999991158.5,996097177,1000000000,0,9973
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,190,999976075.2902,999991235.0,996104287,1000000000,0,9973
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,191,999976259.7778,999991320.5,996124987,1000000000,0,9973
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,192,999976469.6175,999991384.5,996140115,1000000000,0,9973
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,193,999976625.7533,999991447.5,996142919,1000000000,0,9971
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,194,999976783.4601,999991500.5,996160078,1000000000,0,9970
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,195,999976950.7971,999991553.0,996276572,1000000000,0,9969
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,196,999977108.6953,999991605.5,996278291,1000000000,0,9969
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,197,999977258.3799,999991679.5,996279460,1000000000,0,9969
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,198,999977417.2483,999991726.5,996287519,1000000000,0,9968
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,199,999977580.2192,999991777.5,996377352,1000000000,0,9968
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,200,999977744.6509,999991835.0,996385009,1000000000,0,9968
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,201,999977893.7157,999991900.5,996388206,1000000000,0,9968
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,202,999978029.6032,999991962.5,996389151,1000000000,0,9968
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,203,999978176.8079,999992017.0,996401308,1000000000,0,9968
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,204,999978308.2152,999992070.0,996411689,1000000000,0,9967
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,205,999978442.3457,999992126.5,996414883,1000000000,0,9966
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,206,999978579.3006,999992188.0,996416834,1000000000,0,9966
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,207,999978714.629,999992237.5,996424470,1000000000,0,9965
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,208,999978855.0966,999992270.5,996433921,1000000000,0,9962
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,209,999978988.117,999992332.5,996435933,1000000000,0,9962
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,210,999979113.966,999992371.5,996461644,1000000000,0,9962
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,211,999979248.6356,999992419.0,996471244,1000000000,0,9961
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,212,999979373.916,999992458.5,996474772,1000000000,0,9959
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,213,999979497.3171,999992525.5,996493272,1000000000,0,9958
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,214,999979637.8959,999992578.0,996504972,1000000000,0,9958
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,215,999979759.3125,999992627.5,996525971,1000000000,0,9957
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,216,999979883.0154,999992671.0,996529570,1000000000,0,9956
