dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.4,13,10,0.4059,200160.0,13.0,13.0,151.0,217.0,10000,0,40.771
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.5,16,10,0.52149,167132.0,16.0,16.0,182.0,256.0,10000,0,40.771
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.6,19,10,0.60471,146497.0,19.0,19.0,209.0,292.0,10000,0,40.771
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.7,10,10,0.70571,131572.0,21.0,40.0,236.0,449.0,10000,0,40.771
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.75,15,10,0.75682,112892.0,26.0,47.0,278.0,507.0,10000,0,40.771
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.8,26,10,0.80442,86933.1,38.0,65.0,363.0,650.0,10000,0,40.771
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.3,10,1,0.3829,251111.0,10.0,10.0,127.0,180.0,10000,0,42.845
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.4,11,1,0.4384,229832.0,11.0,11.0,139.0,196.0,10000,0,42.845
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.5,13,1,0.5356,199477.0,13.0,13.0,161.0,225.0,10000,0,42.845
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.6,15,1,0.6067,175402.0,15.0,15.0,181.0,254.0,10000,0,42.845
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.7,10,1,0.727,141455.0,19.0,34.0,228.0,411.0,10000,0,42.845
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.75,13,1,0.7509,128345.0,22.0,38.0,253.0,455.0,10000,0,42.845
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.8,34,1,0.8003,75967.6,45.0,69.0,421.0,710.0,10000,0,42.845
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.3,10,10,0.35416,236317.0,10.0,10.0,127.0,180.0,10000,0,41.459
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.4,11,10,0.4161,217075.0,11.0,11.0,139.0,196.0,10000,0,41.459
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.5,13,10,0.51912,189955.0,13.0,13.0,161.0,225.0,10000,0,41.459
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.6,16,10,0.62709,161145.0,16.0,16.0,191.0,269.0,10000,0,41.459
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.7,20,10,0.70753,136314.0,20.0,20.0,227.0,318.0,10000,0,41.459
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.75,12,10,0.75151,126121.0,21.0,37.0,245.0,440.0,10000,0,41.459
coco_i2i-512-angular,euclidean,mod-vamana,0.97,1.0,32,64,1164,0.8,22,10,0.80279,94291.6,32.0,53.0,329.0,561.0,10000,0,41.459
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.3,10,1,0.3197,243380.0,10.0,10.0,129.0,188.0,10000,0,43.955
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.4,12,1,0.4183,208581.0,12.0,12.0,154.0,220.0,10000,0,43.955
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.5,14,1,0.5071,177968.0,14.0,14.0,177.0,252.0,10000,0,43.955
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.6,18,1,0.6205,146148.0,18.0,18.0,220.0,309.0,10000,0,43.955
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.7,10,1,0.7251,127527.0,21.0,38.0,252.0,477.0,10000,0,43.955
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.75,14,1,0.7544,113003.0,24.0,44.0,288.0,531.0,10000,0,43.955
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.8,34,1,0.8005,70896.3,46.0,74.0,459.0,792.0,10000,0,43.955
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.2,10,10,0.29485,220463.0,10.0,10.0,129.0,188.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.3,11,10,0.34804,202425.0,11.0,11.0,142.0,205.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.4,14,10,0.48709,164430.0,14.0,14.0,177.0,252.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.5,15,10,0.52634,154069.0,15.0,15.0,188.0,266.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.6,18,10,0.61826,139677.0,18.0,18.0,220.0,309.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.7,11,10,0.74387,120533.0,22.0,40.0,262.0,492.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.75,12,10,0.75354,116587.0,23.0,41.0,271.0,500.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.98,1.0,32,64,1164,0.8,22,10,0.80444,88425.9,33.0,56.0,360.0,644.0,10000,0,42.752
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.4,10,1,0.4088,215480.0,10.0,10.0,141.0,195.0,10000,0,46.369
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.5,12,1,0.5266,182775.0,12.0,12.0,167.0,230.0,10000,0,46.369
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.6,14,1,0.6073,159949.0,14.0,14.0,191.0,262.0,10000,0,46.369
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.7,18,1,0.702,129786.0,18.0,18.0,235.0,323.0,10000,0,46.369
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.75,10,1,0.7505,122510.0,19.0,34.0,255.0,459.0,10000,0,46.369
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.8,26,1,0.8009,76098.3,36.0,58.0,405.0,684.0,10000,0,46.369
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.3,10,10,0.37974,204926.0,10.0,10.0,141.0,195.0,10000,0,44.384
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.4,11,10,0.44373,188055.0,11.0,11.0,154.0,213.0,10000,0,44.384
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.5,12,10,0.5002,169676.0,12.0,12.0,167.0,230.0,10000,0,44.384
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.6,15,10,0.62352,149775.0,15.0,15.0,202.0,278.0,10000,0,44.384
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.7,19,10,0.71466,120250.0,19.0,19.0,245.0,339.0,10000,0,44.384
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.75,10,10,0.75294,119376.0,19.0,34.0,255.0,459.0,10000,0,44.384
coco_i2i-512-angular,euclidean,mod-vamana,0.99,1.0,32,64,1164,0.8,17,10,0.80082,92254.3,27.0,46.0,326.0,569.0,10000,0,44.384
